600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_22.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,885,26,139,11.5815703,tisteatanaintintetsiteionsienrainteraleeninanesieraeesereisetnerieieointontieateetinintuitinisieorointsereatettsintaereatitontinttioititero
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_23.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,880.8,25,141,12.0761099,tisteatanaintitostietionoisienraintenionceseeainareatinstheratieeeieoitonstianeentitionstietstieoieeointonstiyetteineaerenttioniscetititintes
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_24.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,880.7,26,139,12.0124756,inttiontietatsointitionfutosineraintereeinainareeeionstheoriotnesipentonsrtineentitionitisetiteoineointonstiytteinearerenttionistitiitintes
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_25.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,879,26,138,11.7600949,tisteatanaintintetsiteionsieeintraleenioncesieeainaratiseteriniotonrstonnistitnsietinttoitietsiseoneoinnttoistseretterentaittionteitiintes
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_26.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,876.4,26,141,12.8012742,tisteatanaintitostietionoisienraintenionceseeainareatinsthereieeentioostianeetnititonsiettintetnoiitinisifusetreatenteenentittiontittiititero
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_27.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,862,26,138,11.3198725,tisteatanaintintetsiteionsieeintraleenioncesieeainaratiseteointistsandoeeeetitinieintuitinistiftoreeneteointtintereionntrutitonstitiintits
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_28.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,849,26,138,11.5289814,tisteatanaintintetsiteionsieeintraleenioncesieeainaratiseteoiotistsandoeeeetitinieintuitinistifeteeneteointtintereatintoereaedtoititintits
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_29.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,837.5,26,138,11.6129727,tisteatanaintintetsiteionsieeintraleenioncesieeainaratiseteointistsandoeeeetitinieintuitinistifeteeneteointtintereatintorerteaitotitintets
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_30.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,874.3,26,135,10.9516299,tiseatanintitionituitionsienereeteraeseenainreetionsetteonionstsandoorinntireeteenttintitintoinitteeneateoinintereiatiatoentitoitinteri
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_31.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,870.1,26,135,11.5671252,tisetatanaintitoititionsietainteraesinenainreetionstteotesinutsandoneenonitirairetntitinttiitorinetettieteneeinterereninationetititites
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_32.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,870,26,136,11.6148279,tisetsatanaintitonitifuyetitesieeenantrareeeatonsettheoctnespreintaaiororeeeentonertainttnititinorteseteinteetintererinataationteitiites
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_33.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,868.3,26,135,11.0118232,tisteatanaititnitititionsietainteraesinenainreetionsettheonionstsandooinntirtieatrettinetidtetionintonstereatintereresntationtintitotes
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_34.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,865.7,26,137,11.40073,tisetsatanaintitonitifutisieeetieetnonaninrreationsettheonionstsandooinniticranttinutintetiitorinetettitsteetintereresntationtintitoitite
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_35.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,851.3,26,135,11.0731358,tisetsatanaititionitifusetitresiseseeseeenainaeoreationeentetonnsisseeenonirtieteettinetientinitontseteaeteneresnintartereontitiitieaos
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_36.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,838.3,26,133,11.355687,tisteatanaintitoititionsietainteresieerareenontoriteeereintaomiontontineeentitiontitorieititisisoteaoieentteoereninaltiontintititears
